MovieIdsNew,movieId,title,genres
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,2,Jumanji (1995),Adventure|Children|Fantasy
2,3,Grumpier Old Men (1995),Comedy|Romance
3,4,Waiting to Exhale (1995),Comedy|Drama|Romance
4,5,Father of the Bride Part II (1995),Comedy
5,6,Heat (1995),Action|Crime|Thriller
6,7,Sabrina (1995),Comedy|Romance
7,9,Sudden Death (1995),Action
8,10,GoldenEye (1995),Action|Adventure|Thriller
9,11,"American President, The (1995)",Comedy|Drama|Romance
10,12,Dracula: Dead and Loving It (1995),Comedy|Horror
11,14,Nixon (1995),Drama
12,15,Cutthroat Island (1995),Action|Adventure|Romance
13,16,Casino (1995),Crime|Drama
14,17,Sense and Sensibility (1995),Drama|Romance
15,18,Four Rooms (1995),Comedy
16,19,Ace Ventura: When Nature Calls (1995),Comedy
17,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
18,21,Get Shorty (1995),Comedy|Crime|Thriller
19,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
20,23,Assassins (1995),Action|Crime|Thriller
21,24,Powder (1995),Drama|Sci-Fi
22,25,Leaving Las Vegas (1995),Drama|Romance
23,26,Othello (1995),Drama
24,28,Persuasion (1995),Drama|Romance
25,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
26,31,Dangerous Minds (1995),Drama
27,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
28,34,Babe (1995),Children|Drama
29,36,Dead Man Walking (1995),Crime|Drama
30,39,Clueless (1995),Comedy|Romance
31,41,Richard III (1995),Drama|War
32,42,Dead Presidents (1995),Action|Crime|Drama
33,43,Restoration (1995),Drama
34,44,Mortal Kombat (1995),Action|Adventure|Fantasy
35,45,To Die For (1995),Comedy|Drama|Thriller
36,46,How to Make an American Quilt (1995),Drama|Romance
37,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
38,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
39,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
40,52,Mighty Aphrodite (1995),Comedy|Drama|Romance
41,57,Home for the Holidays (1995),Drama
42,58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
43,60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
44,61,Eye for an Eye (1996),Drama|Thriller
45,62,Mr. Holland's Opus (1995),Drama
46,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
47,65,Bio-Dome (1996),Comedy
48,66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
49,69,Friday (1995),Comedy
50,70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
51,73,"Misérables, Les (1995)",Drama|War
52,74,Bed of Roses (1996),Drama|Romance
53,76,Screamers (1995),Action|Sci-Fi|Thriller
54,79,"Juror, The (1996)",Drama|Thriller
55,81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
56,82,Antonia's Line (Antonia) (1995),Comedy|Drama
57,85,Angels and Insects (1995),Drama|Romance
58,86,White Squall (1996),Action|Adventure|Drama
59,88,Black Sheep (1996),Comedy
60,89,Nick of Time (1995),Action|Thriller
61,92,Mary Reilly (1996),Drama|Horror|Thriller
62,93,Vampire in Brooklyn (1995),Comedy|Horror|Romance
63,94,Beautiful Girls (1996),Comedy|Drama|Romance
64,95,Broken Arrow (1996),Action|Adventure|Thriller
65,100,City Hall (1996),Drama|Thriller
66,101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
67,102,Mr. Wrong (1996),Comedy
68,104,Happy Gilmore (1996),Comedy
69,105,"Bridges of Madison County, The (1995)",Drama|Romance
70,107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
